brain_astrocytes	brain_inhibitory.neurons	brain_excitatory.neurons	brain_oligodendrocyte.precursor.cells	testis_early.spermatids	liver_plasma.cells	stomach_fibroblasts	brain_microglial.cells	eye_cone.photoreceptor.cells	esophagus_fibroblasts	eye_bipolar.cells	eye_muller.glia.cells	eye_horizontal.cells	lung_ciliated.cells	placenta_fibroblasts	liver_smooth.muscle.cells	liver_cholangiocytes	disease
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.00031310205397660324	0.000832822958084318	5.838896608646321e-06	0.0010372986627595192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0005773873512516043	0.0009724989493561404	0.00014113314629889595	0.0012133867705932827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0005029165516237122	0.0009586755900582443	1.74627720323286e-05	0.0008700704329143017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0003984350505303399	0.0007691128827350003	0.0	0.0009541076996062362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0004887336797337135	0.0009125023182131674	0.00010593497306166516	0.0008081559316975731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.00033186485828166245	0.0009455942954141	0.0	0.0010279059838669516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.000518742700985176	0.0010160683372286644	7.391856473946539e-05	0.0011013676665181458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.00039330398566841214	0.0007435982310158898	0.0	0.0010451085202490768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0006842963790498654	0.0011737318210564144	0.00010213598042780478	0.0009600714926528025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.00045377971491088496	0.0009927071294347715	6.158088677952472e-05	0.0010556381191667535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.000590253462345253	0.0012123909487132217	0.0017314620375269189	0.0009056237935745264	0.0019358637021508847	0.00019527257215403302	0.00010757336009266552	0.00010958217278633312	0.00037178755384754877	0.00014916873653321547	0.0001954328914176346	0.0001875758076344091	0.0001827498348070289	0.00017318888152373572	0.00022578579548835972	1.4554554831016862e-05	0.00019775512068326867	AD
0.0006688723704640007	0.0014764410921809278	0.0018710181150685284	0.0010407968899782286	0.0021118164507788377	0.00018017531934812623	0.0001127764008172318	0.00016391322610793222	0.0002308213997864991	0.00013108646699810887	0.00013427689967552322	0.00015865146681574076	0.0001742370043590427	0.00022216304256493134	0.00018583380536624634	1.3740365962075858e-05	0.00017026495110039098	AD
